Nodes in input,Nodes in hidden,Epochs,Batch Size,Hidden Layers,Time,mse,accuracy
46,92,1000,16,3,1552808299,0.10363146151627128,0.8557409227654791
66,34,1000,112,4,1552808957,0.16081495077090596,0.798822381370084
31,30,1000,16,3,1552813230,0.12168074096530179,0.8302257117743113
8,81,1000,112,3,1552813926,0.13235209143416218,0.8272816424163916
61,15,1000,80,4,1552814822,0.09974453185883307,0.8626104033496359
4,64,1000,128,4,1552815449,0.14421423854373974,0.7968596662810553
19,78,1000,48,2,1552816875,0.13870715713667683,0.8135426835878089
47,70,1000,64,1,1552817915,0.13102402785926384,0.8223748770967433
19,46,1000,128,1,1552818457,0.11740690071987568,0.8341511310141266
52,53,1000,32,1,1552820573,0.11670978975658679,0.8390578996678915
18,93,1000,64,3,1552821747,0.12492944080824941,0.833169775341397
68,87,1000,64,1,1552822790,0.1283703254091611,0.8155053972145058
7,37,1000,32,4,1552825029,0.1420424446331975,0.7801766439438802
85,38,1000,48,1,1552826446,0.11389048496248444,0.8537782151635893
72,30,1000,112,2,1552827081,0.11503480940735492,0.8312070666281351
99,29,1000,128,1,1552827627,0.1344831316522574,0.8243375823589022
10,20,1000,96,3,1552828394,0.12051795181014938,0.8302257106044458
67,78,1000,112,1,1552829013,0.12547231077328982,0.8302257161028135
5,71,1000,32,1,1552831196,0.10690507588138524,0.8420019624745647
45,17,1000,96,4,1552831973,0.11771501201525755,0.8302257069193697
12,99,1000,112,1,1552832603,0.12188147273832262,0.8429833163340028
47,18,1000,128,4,1552833199,0.11899289255550495,0.8272816492601045
58,1,1000,96,2,1552833964,0.13059025148150966,0.835132480837529
59,63,1000,96,4,1552834790,0.11603319225969913,0.8449460146354623
98,81,1000,96,1,1552835513,0.11029406164620177,0.8518155115392421
90,63,1000,128,1,1552836066,0.12004311608700803,0.8459273784972501
22,84,1000,64,4,1552837308,0.15770087995812282,0.7998037295556747
56,61,1000,16,3,1552841798,0.12260883672197621,0.8410206083811534
73,61,1000,128,2,1552842396,0.1096311615993862,0.8449460261001437
1,78,1000,128,3,1552843040,0.1351585535001708,0.8056918565728597
96,35,1000,48,1,1552844529,0.1357509618126024,0.8086359212513176
39,95,1000,48,4,1552846162,0.14186701957973577,0.8076545579744625
100,97,1000,80,1,1552847040,0.11838553392559553,0.8449460268605563
61,1,1000,128,1,1552847621,0.16932420271711096,0.7841020617213638
